"judul_webtoon","sinopsis_webtoon"
"Beyond Max Level","Terjebak dalam ruang simulasi selama 3.000 tahun karena error yang tidak diketahui.
Tapi di dunia nyata, hanya 10 tahun sudah berlalu dan kini monster beserta dungeon muncul di dunia ini.
Pertarungan Kibong yang kembali dengan MAX LEVEL dimulai untuk mengembalikan semuanya!"
"To Love Your Enemy","Yeonhee yang berumur 24 tahun ini baru masuk universitas sebagaii mahasiswi baru. Sebenarnya, dia mengganti namanya dengan nama baru untuk melepaskan diri dari jeratan masa lalunya yang menyebalkan.

Tapi, ternyata ada seorang mahasiswa sejurusan yang mengetahui masa lalu Yeonhee yang gelap tersebut! Bahkan dia benci sekali dengannya..!!

Apakah Yeonhee bisa menjaga rahasianya dan menjadi dekat dengan dia?"
"Day by Bae","Kisah gadis desa bernama Sarmi Rahayu Ning Tyas (Hayu) yang sangat antusias mengubah hidupnya yang gitu-gitu saja. Dia nekat ke kota untuk kuliah dan berharap bisa membesarkan usaha ibunya sebagai pembuat jamu tradisional. Tapi tak disangka dia bertemu dengan Rendaru Ganendra (Ndaru), teman kecilnya yang sudah bertahun-tahun tidak bertemu. Parasnya sudah jauh berubah, dia jadi lebih tinggi, putih bersih, pokoknya tipe Hayu banget. Tapi sayang… dia dikelilingi oleh orang-orang mengerikan dan juga berbagai rumor miring tentangnya. 
Apakah Hayu tetap mau dekat dengannya dengan mengemban tudingan mirinya yang akan tersemat di dirinya nanti?
"
"Berita Cinta","Demi bertemu dengan penyiar berita yang ganteng,
aku bekerja part time di kafe yang ada di stasiun siaran.
Tapi, kenapa dia dingin banget kepadaku..?
""Aku suka kamu dari dulu, tapi kok kamu ternyata dingin banget?!"""
"Love is a Promise","Dikarenakan sebuah janji dengan seorang wanita saat masih kecil, Ganendra pun terobsesi dengan Janji untuk menjadi sempurna demi wanita tersebut. Namun, apa yang akan dia lakukan disaat wanita tersebut kembali dengan sosok yang berbeda?"
"Be My Soulmate","Dua artis populer, Dakyung dan Minwoo, adalah teman masa kecil. Suatu hari, mereka tidak sengaja menimbulkan skandal..! Sekarang mereka harus berpura-pura akan menikah?!

Apakah mereka bisa menyimpan rahasia besar ini?"
"She Would Never Know","Setelah pacaran begitu lama, pacarku malah menikah sama orang lain?!
Dan di saat kala ingin bersedih, kok tiba-tiba juniorku yang begitu ganteng mendekatiku untuk balas dendam kepada pacarku... Kalau seperti ini, bagaimana kelanjutannya?!"
"Locker, Opener","Tidak ada rahasia yang bisa disembunyikan di depan ""Opener"", seseorang yang memiliki super power untuk menguak semua rahasia seseorang.
Dobin Kim, detektif yang memiliki kekuatan ""Opener"" tiba-tiba harus berhadapan dengan kriminal ""Locker"" yang mampu mengunci semua fakta. 

Apakah Dobin bisa membuka semua fakta tersebut yang sudah dikunci oleh ""Locker""?"
"Clueless Girl","Webtoon baru dari SEOKWOO, Author ""HANA HARU""!
Gabin adalah cucu dari ketua perusahaan besar yang tidak memiliki teman dan bahkan sampai dibully. Untuk mengatasi ini, Tae-woong, dipekerjakan menjadi pengawal Gabin dengan imbalan 500 juta won. 
Apakah Tae-woong bisa menjaga Gabin sambil menutupi identitasnya sebagai seorang pengawal?!"
"The Real Lesson","Setelah undang-undang larangan memukul para siswa disahkan, semakin banyak siswa yang seperti preman.
Suatu hari, seorang laki-laki yang kuat muncul dan menghajar para preman sekolah tersebut.

Sebenarnya siapa laki-laki itu..?!"
"I Raised A Beast","Satu-satunya teman Blondina adalah seekor kucing yang lucu...tapi ternyata kucing itu... bisa berubah jadi manusia?!
Blondina tidak sengaja memelihara binatang yang berbahaya!"
"Garden of the Dead Flowers","Saat Mila terbangun, tiba-tiba dia sudah ada di Batavia pada zaman kolonial Belanda dan melihat kakekknya yang masih muda membunuh wanita! 
Kakek yang dia kira baik, ternyata membunuh gadis-gadis itu di tamannya dan menanamnya hingga menjadi bunga-bunga baru."
"Love Teleport","""Siapa kau? Kenapa ada di rumahku?!""
Aku membaca novel sebelum tidur, namun tiba-tiba aku teleportasi ke rumah cowok itu... tapi, sepertinya dia nggak asing?!"
"Oh My Boy!","Hanya karena pendek, berwajah manis dan menggemaskan Arya selalu ditolak oleh Saras. Tidak ingin terus patah hati, Arya bertekad untuk move-on dan merubah fisiknya untuk membalaskan dendam.. tapi, sepertinya semesta masih ingin menguji diri nya lebih lama lagi. "
"Perfect Family","Keluarga Seonhee terlihat sangat bahagia seperti keluarga pada umumnya.
Suatu hari Seonhee mengakui dia membunuh temannya.
Tetapi reaksi ibunya kok malah begini...?!"
"High School Soldier","Yoo Leejin, satu-satunya orang yang hidup dari kecelakaan pesawat terbang, harus bekerja sebagai tentara bayaran selama 10 tahun. Tapi akhirnya dia kembali ke tempat asalnya dan memulai kehidupan baru sabagai anak SMA biasa.

Apakah dia bisa bersekolah dengan normal?"
"Gentle HIPster","Gaeun, seorang CEO dari perusahaan baju Yoga 'LIP N HIP' sedang mencari model!
Ternyata yang dia cari adalah model cowok yang punya... bokong paling keren!?"
"All I Want is You","Ban Jihoo, seorang CEO dari perusahaan besar, bertemu dengan matan tunangannya, Gong Eunyul, 5 tahun setelah mereka putus. Gara-gara surat wasiat dari kakeknya Jihoo, sekarang mereka harus menikah padahal Eunyul sudah memiliki satu anak..!

Apakah pernikahan mereka bisa lancar?"
"Seasons of Blossom","Banyak teman-teman berpikir Bomi dan Jaemin adalah pasangan yang serasi! Tapi kenapa Bomi malah berpacaran dengan Jinyoung yang pendiam di kelas?!

Kisah cinta segitiga yang manis seperti musim semi baru dimulai!"
"You're My No. 1","Aku ini TOP STAR yang terkenal.
Tapi, kenapa aku malah jatuh cinta dengan aktris baru ini?!
Lebih parah lagi, dia bertingkah lebih dingin daripadaku...!

Kalau begini, apakah aku bisa mendekati dia?!"
"Love Quest for a Servant Girl","Kenapa aku menjadi seorang pembantu di dunia novel ini?!
""Yang mulia, tolong selamatkan saya. saya tidak ingin mati!"""
"Dragon King's Chef","Kenapa raja naga ini tidak memakanku? 
Apa jangan-jangan dia suka dengan masakanku...?!"
"Left Hand","Kamu punya uang, aku punya cinta. Aku butuh uang, kamu butuh cinta. Bukankah kita serasi, “Sayang”?"
"Witch's Wedding Diary","Gara-gara satu malam dengan anak baru yang banyak mendapat perhatian di Menara Penyihir,
seorang penyihir yang genius hampir saja menodai semua predikatnya!

Untuk menyembunyikan rahasia ini, anak baru itu malah meminta untuk menikah?!"
"Kedok","Oksi adalah pahlawan super yang sebenarnya nggak pingin jadi pahlawan super! Masa-masa indah di sekolahnya habis karena tugasnya sebagai pahlawan super. Suatu hari karena Oksi lupa memakai kostumnya dengan lengkap, identitasnya sebagai pahlawan super ketahuan oleh Minara, salah satu teman di sekolahnya yang sedang mencuri. Sejak saat itu, mereka sepakat untuk saling menjaga rahasia satu sama lain."
"Nice to Meet You","Mew si mahasiswi ceroboh menemukan kartu mahasiswa seseorang. Bukannya dikembalikan, Mew malah menukar kartu itu dengan miliknya sendiri! Ternyata si cowok dingin pemilik kartu itu malah bete. Apakah keisengan Mew berakhir baik atau buruk?"
"The Master of 10 Billion","Yumi sedang berjuang meluniasi hutang yang ditinggalkan oleh orang tuanya. 
Saat diancam oleh rentenir yang datang ke kost untuk mengambil hutang, 
ia dibantu oleh Soo-hyun yang memiliki banyak uang dan menggunakan kekuatan aneh...!!"
"Play, Pli","Pli, seorang mahasiswi yang biasa, punya rahasia besar.
Dia sebenarnya youtuber terkenal yang suka upload cover lagu!
Suatu hari, LEVI, anggota grup Idol dan mahasiswa sejurusannya, follow akunnya Pli dan meminta untuk bertemu.

Apakah Pli bisa menyembunyikan sosoknya terus-menerus?"
"DEVIL SHOT","Di saat kala menghadapi kematian, aku menandatangani kontrak dengan raja dunia bawah tanah."
"Cursed Blessing","""Hai, wanita rendahan."" Rieta yang direncanakan untuk menjadi persembahan hidup, diselamatkan oleh
Grand Duke Axias. Lalu, bagaimana dengan kelanjutan nasib wanita ini...?!"
"Bitter Sweet Marriage","Yejun, teman lama Subin, tiba-tiba muncul di depan Subin dan melamarnya dengan jaminan bahwa uang yang dulu dipinjam Subin tidak perlu dikembalikan!

Subin harus bagaimana ya?!"
"The Forbidden Marriage","Semua orang di kerajaan ini dilarang menikah oleh sang raja yang gagal move on. Seorang gadis yang jago menipu mencoba mengubah larangan tersebbut, namun semakin lama kebohongannya makin besar dan runyam!"
"10 Tahun Setelah Pandemi","Apa yang terjadi apabila tidak ada vaksin untuk sebuah virus pneumonia yang terus bermutasi? Setelah 10 tahun penuh ketakutan dan kematian, apakah kamu berani untuk keluar dari rumahmu?"
"Hello, Mr.Blue","Kisah romantis antara cewek yang takut pada air dan cowok yang lebih suka tinggal di dalam air!"
"Pie Game","Semakin lama kau disini, semakin banyak uang yang akan didapatkan.
Pertanyaannya, sampai kapan kau kuat bertahan disini? Apa yang akan dikorbankan untuk menjadi orang kaya?"
"Kemala","""Rasanya seperti terbangun di tengah-tengah mimpi. Aku mulai resah menerka-nerka... Aku di mana? Aku ini siapa?!Perlahan aku sadar telah berada di alam arwah dan tak bisa lagi kembali. Kini aku hanya bisa melangkah ke depan, menembus dinginnya malam, mengantarkan gugusan jiwa yang tersesat sebelum aku bisa menemukan misteri atas takdirku sendiri..."""
"The Girl's Trial","Di kelas Gaeul, ada sistem kasta yang tak terlihat. Dia yang pendiam masuk ke kelompok 3.
Suatu hari, Gaeul yang ingin masuk ke kelompok 1 tidak sengaja melihat rahasia besar dari teman-temannya yang masuk di kelompok 1. 
Demi menjaga rahasia tersebut, Gaeul mulai bertindak semaunya sebagai saksi mata satu-satunya!"
"The End of Relationship","Sewa vila saat liburan, malah ketemu pemilik vila yang tingkahnya aneh dan bikin merinding. Ada apa sebenarnya di vila itu?"
"Bang Lambe","Bang Lambe yang berprofesi sebagai ojol hanya menjalankan tugasnya demi segenggam receh untuk sekedar bertahan hidup. Tapi dia nggak pernah tau kejadian dan customer seperti apa yang bakal dia temui setiap harinya karna jalanan ibukota itu keras bwos! "
"Only You can See","Semoga perasaanku sampai padamu!
Romantis Fantasi yang menyembuhkan hatimu!"
"Moon Flower","Murid berprestasi yang terlihat supel dan ramah itu adalah Naomi Syamsyah.
Siapa yang menyangka dibalik sosok lembutnya itu... penuh akan misteri?"
"Hantu +62","Setelah mati jadi hantu? Powpow memulai kehidupannya menjadi hantu tampan, bersama hantu-hantu lain di negara +62!"
"Spirit Hunter","Pedang yang dimilikinya akan memburu semua roh gentayangan!"
"Fight Class 3","Jitae, siswa SMA yang penampilannya lemah, tiba-tiba diundang untuk bergabung ke kelas perkelahian oleh seniornya!

Mampukah dia menguasai teknik 'Jiu Jitsu' dan menjadi siswa top di sekolahnya?!"
"The Man","Han Yoo-hyun, pekerja kantoran terbaik di dunia!
Setelah kehilangan segalanya, ia kembali ke masa lalu dan mengulang kehidupannya lagi. Kali ini, tidak akan ada penyesalan lagi!"
"Player","Seoljin, seorang pecundang di sekolah, tiba-tiba masuk ke dalam dunia webtoon aksi karena dia berjanji untuk masuk ke webtoon berjudul “Player” kalau kommennya menjadi komen terbaik!

Gimana nasibnya di dalam dunia webtoon?!"
"I'm Just His Friend!","Aku hidup kembali di dalam dunia novel sebagai seorang Antagonis?!
Untuk tetap hidup di sini, aku harus menghindari sang tokoh utama! Tapi, kenapa dia malah jadi semakin dekat denganku?!"
"Senior, Bekalmu!","Gemetar dan berdebar? Apakah ini pertanda jatuh cinta, atau hanya lapar? Apa pun itu, Clara akan pastikan kak Bakti tidak akan lapar lagi! Senior, ini bekalmu!"
"Empress Cesia Wears Shorts","Ratu Cesia yang mengalahkan 99 kerajaan memiliki satu kecemasan.
""Kenapa baju Ratu selalu tidak nyaman dipakai?!"""
"Rainy Night","Aku ikut perjodohan karena disuruh oleh keluarga.
Waktu pertemuan, cowok yang datang telat 4 jam dari waktu janjian ini ternyata cowok sempurna.. Tiba-tiba, dia mengusulkan sesuatu yang aneh, ""Apakah kamu ingin bertemu 3 kali lagi dengan lebih serius?"""
"Cinderella at 2 a.m.","Cowok yang telah bersamaku selama 3 tahun adalah
putra bungsu dari pemegang saham utama perusahaan kami.
Tapi, ibunya memintaku untuk mengakhiri hubungan kami dengan sogokan uang... dan tawaran itu aku terima.
Tapi kok cowok itu masih baik padaku dan malah membuatku makin suka padanya...?!"
"Me Vs Big Slacker Baby","Arin, seorang gadis super rapi yang selalu senewen setiap kali melihat segala sesuatu yang berantakan. Suatu hari, kos yang dikelola oleh ibu Arin kedatangan seorang siswa SMA bernama Alvan yang ternyata selain pemalas juga manja dan super berantakan.

Keadaan menjadi semakin tidak terkendali ketika Arin dan Alvan bersekolah di sekolah yang sama, apalagi Alvan ternyata juga cukup populer di kalangan para siswi.

Apa jadinya ketika dua individu yang saling bertolak belakang sifatnya ini tinggal dan bersekolah di tempat yang sama?"
"Ctrl+Z","Jika kamu bisa menghapus ingatanmu...Ingatan apa yang ingin kamu hapuskan?"
"ART/STROKE","Rio berhasil mendapatkan beasiswa di sekolah elit khusus kesenian! Tapi apakah menggambar itu semudah kelihatannya? Ikuti Rio dalam petualangannya untuk menggambar dengan baik di sekolah elit penuh kejutan."
"CAO!","Perkenalkan, ini Otto. Driver ojek online dengan rating 7 bintang!"
"The Girl 180","Tinggi, ganteng...tapi masalahnya dia bukan seorang laki-laki!!
Gadis yang ganteng ini pura-pura jadi cowok untuk menjadi model terbaik!

Apakah dia bisa menyembunyikan rahasia tersebut selama-lamanya?"
"The Macho Florist","Cowok macho ini sebenarnya suka sekali sama bunga.
Apakah dia bisa membuka toko bunga sesuai keinginannya?"
"Human Forest","Kamp ini penuh kekerasan dan pertumpahan darah karena para pembunuh psikopat dikumpulkan untuk eksperimen! Apa yang akan terjadi di tempat ini...?"
"Hate You 999 Times","Tiga tahun ini bisa kulewati dengan sempurna, namun karena kutukan ini, semuanya jadi hancur dan aku harus bertemu kembali dengan mereka!!"
"Me and My Professor","Yali si asdos harus tinggal bersama profesor ganteng tapi galak karena masalah keuangan. Awalnya lancar-lancar saja, tapi suatu hari sebuah hal tidak terduga terjadi...."
"Let's Meet in the Next Life","Kehidupan ke-19 sudah dimulai!
Apakah aku bisa berjumpa dengan 'kamu' yang aku sukai di kehidupan ke-18?"
"As You Wish My Lady","Ganteng dan populer, tapi diam-diam hobi joget! Tian ingin merahasiakan hobinya karena nggak mau di-judge. Sayangnya, hobinya ketahuan Tina yang minta Tian jadi pacarnya kalau rahasianya tetap mau dijaga."
"The Scandal","Bagaimana jika tokoh utama dari skandal pasangan aktris terkenal adalah suamiku sendiri? Akhirnya saya memutuskan untuk berhenti sebagai seorang reporter dan pergi ke Amerika karena suamiku berselingkuh. Tetapi, suami saya memberikan tawaran yang tidak bisa ditolak."
"Mosquito War","Sudah 100 tahun setelah nyamuk yang berevolusi menjadi predator terkuat di bumi. Walaupun begitu, harapan untuk umat manusia masih ada!"
"Ticket Hero","Siswa yang lemah ini berubah menjadi kuat dengan cara meminjamkan kekuatan dari para arwah orang kuat yang sudah mati!"
"Nano Mashin","Setelah mengalami cobaan berat pada hidupnya, Tiba tiba Chun yeowun mendapatkan pertolongan tidak terduga dari keturunannya di masa depan yang memasukkan teknologi nano ke dalam tubuhnya! Mampukah Chun Yeowun menjadi master bela diri dengan menggunakan kekuatan nano mashin!?"
"The Master of Tutorial Tower","Setelah terperangkap di Tutorial Tower karena kutukan, akhirnya dia berhasil keluar setelah 12 tahun!"
"Hallim Gym","Aku harus menjadi lebih kuat dan mengalahkan orang itu!"
"2020 Total Nightmare","Lebih dari horor, bukan horor biasa."
"Money Game","Periode game 100 hari, total hadiah 44,8 Miliar Won. Tapi, semua harga barang naik 1000 kali lipat. 
Apakah kau akan keluar sebagai orang kaya? atau sebagai orang miskin?"
"31 Ways to Runaway","Kamu ingin lari dari apa? Dari mantan? mertua? boss yang galak? atau bahkan kenyataan? Di kompilasi kali ini, kita tidak akan menceritakan kisah cinta yang membuat kamu deg-degan, atau kisah menyeramkan yang membuat bulu kuduk berdiri. 
Tujuan kisah ini hanya satu, yaitu, KABUR!"
"Baby Steps","Walau masih SMA, bisakah kami jadi orangtua yang baik?"
"Aku dan Para Mantan","Bukan cuman satu, tapi dua mantan yang bersamaan di tempat yang sama! Ini adalah kisah Naomi dengan mantan yang dulu merupakan cinta pertamanya dan mantan satu lagi yang membencinya! 
Kalau seperti ini... apa yang harus Naomi lakukan?!
"
"MUROS","Ini kisah tentang cowok ganteng yang kegantengannya hanya bisa dilihat dengan mata batin. Meski demikian, Muros tetap tabah dan berbakat!"
"Oh! Princess","Seperti sebuah dongeng pada umumnya, Pangeran James jatuh cinta kepada seorang Putri Misterius di pesta dansa. Lewat sepatu kaca yang diambil paksa olehnya, mereka menikah namun Pangeran James terkejut saat melewati malam pertama mereka!"
"The First Night with the Duke","Ada banyak wanita lain yang lebih cantik, dan bahkan lebih elegan dari aku.
Tapi... kenapa Duke ini malah terobsesi sama aku yang biasa-biasa saja?!"
"Shine on You","Walaupun dunia ini penuh dengan realita yang kejam dan melelahkan... 
Yang paling penting adalah kita masih memiliki satu sama lain.
Asalkan bersamamu, di tempat yang gelap pun aku merasa seperti cahaya yang paling terang!"
"Lovers in Paris","Pacarku tiba-tiba menikahi wanita lain!
Aku pun harus memulai kehidupan baru di Paris!"
"Unlucky Mansion","Jika cinta memiliki bentuk, mungkinkah bentuknya seperti rumah?"
"Blind to You","Karen suka membulli teman-temannya dan selalu ingin jadi yang terbaik. Sikapnya itu membuat Hersa yang selalu percaya kalau dia akan berubah, akhirnya tidak tahan dan putus dengannya. Penyesalan ini membuat Karen tidak bisa move on, hingga suatu hari dia mendapat kesempatan kedua dan mengulang waktu ke masa lalu?!"
"The Smell of Evil","Tercium bau busuk dari rumah di lantai bawah sejak kemarin. Setelah itu, temanku tiba-tiba hilang. Penghuni rumah itu juga ikut hilang... selanjutnya siapa lagi?"
"Omniscient Reader","""Jalan cerita ini... hanya aku yang tahu!"" 
Dunia baru akan datang, maka dunia yang lama harus hancur. Apakah dia bisa menyelamatkan diri dari kehancuran dunia yang lama?!"
"A Royal Princess with Black Hair","Pernikahan paksa antar keluarga kerajaan membuat pasangan putri dan putra mahkota yang ingin cepat bercerai.
Apakah akhirnya tujuan mereka akan tetap bercerai, atau justru tetap saling cinta...?!"
"Dangerous New Employee","Setelah 3 tahun bekerja, akhirnya ada karyawan baru!
Tapi, ternyata dia adalah cucu kandung presiden direktur..?!"
"RESET","Kehilangan nyawa setelah sebuah kecelakaan fatal, ayah ini malah diberikan kesempatan untuk hidup kembali sebagai seorang remaja. Dengan waktu yang terbatas, apakah dia bisa memperbaiki hubungannya dengan putra yang ia sayang?"
"BLOODY GAZE","Rion selama ini berpikir hidupnya akan biasa saja, tapi kedatangan siswi baru, Bell, menghancurkan segalanya.
Hanya dengan tatapan mata, Bell bisa mengendalikan seseorang agar bunuh diri! Dan dia bertekad akan membalaskan dendamnya pada Rion?! Apa yang sebenarnya terjadi?"
"Castle","Seorang pembunuh yang mengasah pedangnya untuk membalas dendam. 
Inilah pertarungan melawan dunia gelap untuk merebutkan ""Kekuasaan Mutlak"""
"Minus","Aru kini tak dapat bersuara karena sebuah insiden. Dengan bantuan teman kecilnya, Kiran, dan teman-teman lainnya, Aru berusaha untuk menjalani kehidupan sekolah seperti biasanya meskipun berkomunikasi akan sangat berbeda dari sebelumnya."
"Kyunwoo dan Sang Dewi","Saat malam tiba... keseharian Sung-ah sebagai seorang siswi SMA biasa, berubah!!
Sebagai sang dukun, dia berusaha untuk mengatasi nasib buruknya Kyunwoo, orang yang dia sukai!
Apakah Sung-ah bisa menjaga Kyunwoo dan berpacaran dengannya?"
"Love Today","Kalian percaya keberadaan Cupid di sekitar kita?
Proyek cinta dari para cupid segera dimulai!"
"Invitation of Mystic Messenger","Sebuah pesan aneh dari ""Unknown"" muncul saat Hana hendak mengembalikkan hape yang tertinggal! 
Begitu masuk messenger, kok banyak cowok ganteng ya?!

Webtoon dari game dating populer, Mystic Messenger!"
"Ending Again","Webdrama populer dari PlayList Indonesia
di Youtube sekarang kembali dengan sebuah webtoon!

""Apakah ending yang terbaik dari percintaan adalah pernikahan? atau perpisahan?""

Karya seru lain dari author ""Favorite Part"" :)

Temukan versi webdramanya di Youtube Channel ""PlayList Indonesia""!
https://goo.gl/WzaY"
"Eleceed","Kolaborasi yang luar biasa dari author ""Noblesse"" dan author ""Girls the Wild's""!

Kisah aksi fantasi mengenai Kaiden yang jiwanya masuk ke seekor kucing gendut dan Jiwoo yang suka menyembunyikan kekuatannya!"
"I Choose You","Cerita drama fantasi mengenai Hera, mahasiswa biasa yang harus memilih seorang kandidat dewa!"
"Ayam Goreng","Karena iseng bermain-main dengan sebuah mesin misterus...
Minah, sang wanita cantik, tiba-tiba berubah menjadi sepotong ayam goreng?! 

Kisah absurd tentang seorang ayah dan pegawai magang yang berusaha mengembalikan anaknya menjadi manusia, dimulai!!"
"Unlimited Propose","Cerita romantis antara anak dari keluarga preman dan seorang jaksa?!
Apa yang akan terjadi kalau sampai ada yang tahu cinta terlarang mereka?!"
"Lilac 200%","Setelah mengalami kecelakaan, jiwa milik Haneul, seorang fans idol biasa, malah tertukar dengan orang lain! Tapi ternyata ia malah bertukar jiwa dengan Bunhong, salah satu top member dari girl group terkenal!!
Sekarang, Haneul bisa bertemu dengan idol kesukaannya!

Tetapi, apakah Haneul bisa mempertahankan mimpi manisnya sebagai Bunhong?"
"Occult","Pertarungan antara makhluk gaib dan para pemilik kekuatan supernatural telah dimulai!"
"Kau yang Mencuri Hatiku","Terima kasih kepada para pembaca yang sudah memberikan komen tentang kisah cinta kalian. Berikut, adalah kisah-kisah yang telah dibuat oleh para Author kami berdasarkan dari komen kalian yang berhasil mencuri hati!"
"Gentleman's Unique Taste","Selera unik sang CEO ternyata adalah seorang Intern?!"
"My Lovely Secretary","Syarat menjadi sekretarisnya.. harus cewek yang biasa saja?!"
"How to Fight","Hobin, pecundang di sekolah, tidak sengaja menemukan suatu channel lama di Newtube dan sejak hari itu hidupnya  berubah.
Apakah Hobin bisa belajar cara berkelahi dan membuat konten yang bagus?"
"Mystique","Diawali dengan gigitan di leher, ini adalah kisah cinta pelukis River dengan Mystique, mahluk misterius yang terbangun dari tidur panjang.
""Bagaimana? Apakah kau ingin mendengarkan kisahku dan Mystique?"""
"Love Blooms Late","Kanoko Tsukisiro yang suka sekali membaca novel cinta akhirnya masuk ke dunia kerja sebagai seorang editor novel.
Padahal dia belum pernah jatuh cinta kepada siapa pun. Sebagai editor, dia bertekad membantu penulis yang ditugaskan sebagai tanggung jawabnya, untuk membuat sebuah novel yang hebat.
Tapi ternyata, penulis terkenal itu adalah seorang playboy dan dia suka menggoda Tsukisiro!

Bagaimana dengan kelanjutan hubungan mereka? Dan apakah mereka bisa membuat karya yang hebat?"
"JOYful Delight","Joy yang belum pernah jatuh cinta tiba-tiba dilamar seorang chef ganteng. Tapi, entah kenapa pria itu tiba-tiba menghilang dan Joy merasa digantung. Sekuel dari ""Matahari 1/2 Lingkar""!"
"SEHAT-SEHAT, YA!","Ayo, semangat Indonesia! Dalam situasi saat ini, para komikus LINE WEBTOON ingin memberi semangat dengan gambar dan pesan kepada para pembaca Indonesia!"
"Trauma Center","Banyak pasien meninggal padahal mereka bisa hidup jika ditangani dengan tepat.
Sejak Baek Kanghyuk masuk ke Trauma Center ini, hal tersebut tidak boleh terjadi.
Dokter jenius yang dingin dan kasar, tapi sebenarnya peduli banget!

Apakah dia bisa mengembangkan Trauma Center ini?!"
"Sri Asih","Alana sejak kecil sering melihat makhluk ghaib. Siapa sangka kelebihannya ini malah membawanya pada kekuatan besar! Kini ia mampu menjelma menjadi sesosok dewi yang sakti."
"Favorite Part","Seorang cewek yang suka cowok ganteng dan rela memberikan apapun padanya, padahal sifat cowok itu busuk?!
Dan seorang cowok yang hanya suka dengan cewek gendut?!

Bisakah mereka menyukai orang yang normal?!"
"Revenge Girl","LOVE12125, nama penyakit langka yang diderita gadis bernama Sarang. Dia sudah seperti artis di dunia dan selalu dipertanyakan kapan dia akan meninggal. Untuk orang-orang yang sudah melukai hatinya, dia akan membalaskan dendamnya."
"Devil Number 4","Yoon Hanna, mahasiswa miskin yang hampir putus asa pada hidupnya, namun tiba-tiba datang iblis yang tampan dan menolongnya. Tapi jika dia ingin bekerja dengan si iblis, Hanna harus mempertaruhkan jiwanya!"
"Love Lock","Xinyang, gadis cantik yang disukai semua laki-laki ternyata senang membuat para lelaki itu patah hati.
Suatu hari, muncul laki-laki tampan yang tidak luluh pada godaannya!

Apakah Xinyang bisa menahlukkan laki-laki tersebut?!"
"Kutu Webtoon","Gimana kalau author anti-romance ketemu pembaca maniak romance? Apakah mereka akan berantem atau malah berusaha saling memahami satu sama lain?"
"Lee Doona!","Wonjun, mahasiswa biasa yang tidak sengaja tinggal bersama dengan Doona yang merupakan mantan member idol terkenal di kos yang sama.
Doona mendekati Wonjun dan Wonjun juga semakin suka padanya padahal dulu Wonjun suka salah satu seniornya, Jinju!

Kisah cinta segitiga yang mendebarkan , dari author ""NANO LIST""!"
"Touch Touch You","Kontrak pernikahan yang dibuat saat masih kecil jadi nyata setelah 12 tahun...?!"
"Marry Me!","Dikarenakan proyek UU Perlindungan Jomblo, 
Aku mempunyai seorang suami yang bahkan tak kukenal!

Kalau begini situasinya, apakah aku bisa membuka hatiku untuk cowok ini?"
"10 Cara Merawat Naga","Aku tiba-tiba menjadi seorang ibu!!
Tapi, bayi ini bukan bayi biasa, melainkan bayi naga!!

Apakah aku bisa merawat bayi naga ini dengan baik?!"
"White Blood","Aksi vampir modis dengan kisah cinta tragis...!"
"Satan's Deepest Cry","Ketika semua orang bermimpi untuk menjadi pahlawan, tapi dunia menghakiminya sebagai seorang iblis. Mampukah Ergara Thimos menghadapi kenyataan pahit yang dialaminya dan menyelamatkan orang-orang yang disayanginya?"
"House Daddy","Javid burhan merupakan ketua geng cakar naga yang amat disegani dan sangat ditakuti. Dia memutuskan untuk membubarkan geng cakar naga dan pergi meninggalkan kota kelahirannya demi membina rumah tangga dengan Freya Lane, wanita cantik warga kebangsaan inggris.
Sudah 12 tahun berlalu, Javid beserta keluarga harus kembali ke kota kelahirannya dikarenakan urusan pekerjaan istrinya. Sekembalinya Javid, membuat orang-orang yang pernah berhubungan dengannya bereaksi kembali setelah sekian lama. 
Apakah javid akan kembali menjalani kehidupan yang suram seperti dulu lagi?
"
"A Flower for Nao","Bagi Riu, Nao adalah cinta pertamanya, tapi dia juga adalah orang yang menghancurkan hidupnya. 
Saat mereka bertemu kembali, akankah Riu membalaskan rasa sakit hatinya pada Nao?"
"The Boxer","Bakat luar biasa yang tidak dimiliki siapa pun!
Apakah in sebuah berkah atau kutukan?!"
"I Wanna Be U","Medeia telah memenangkan sayembara menjadi putri mahkota, namun tiba-tiba saja Putra Mahkota Iaros memilih Psyche jadi calon pengantinya! Penuh amarah, Medeia bertekad merebut segalanya kembali dari Pysche. Sayang sekali, jiwa mereka malah tertukar...."
"HER SECRET!","Lisa yang dulunya artis terkenal, sekarang menjadi pembicaraan orang karena skandalnya. Sejak dulu pun, hanya Dowon saja yang tidak memandang buruk dirinya. 
Tapi sekarang justru Dowon yang menjadi populer.

Sebenarnya apa yang dulu terjadi dengan mereka?"
"Rainbow Bridge","Saat hewan mati memiliki permintaan terakhir, mampukah Eira membantu roh para hewan ini untuk mendapatkan akhir yang 'indah'?"
"The Editors","Jangan ketinggalan kabar-kabar terbaru LINE WEBTOON langsung dari para editor! Langsung +FAVORIT ya, supaya nggak ketinggalan episode berikutnya!"
"Twin Connect","Katanya anak kembar selalu akrab, tapi si kembar Rizki dan Rizka justru selalu bersaing dalam semua hal. Termasuk saingan dalam masalah percintaan!"
