"judul_elex","sinopsis_elex"
"bride of the water god","Bi Ryeom dan para pemberontak yang menyerang Kerajaan Kaisar kabur membawa Soah ke Istana Bulan dan meninggalkan Mui yang tidak ingin berpisah dengan Nakbin . Di sisi lain, Soah bertemu dengan ayah Mui di Istana Bulan dan dibawa ke masa lampau..."
"bunmei kaika and antique","Sebuah kisah yang terjadi di Yokohama, tahun Meiji 26 (1873) . Berawal dari seorang anak dari keluarga samurai bernama Yuiko, yang mendatangi toko barang antik, Galeri Kirishima, untuk menjual lukisan, yang dibelinya dengan berutang. Di sana Yuiko bertemu dengan pemuda blasteran bernama Miharu, pemilik galeri tersebut. Mata jeli Miharu mampu mengungkap sesuatu di balik lukisan yang dibawa oleh Yuiko, dan itu membuat Yuiko pucat pasi. Ada apa dengan lukisan itu!?"
"buyuden","Untuk meringkus pelaku perusakan ruang klub, Azuma mengambil risiko bertandang ke sekolah lain namun malah dihajar habis-habisan oleh anggota klub tinju! balas dendam, Isamu dan kawan-kawan mengajukan permohonan pertandingan persahabatan, hasilnya Ditambah, anggota baru dan manajer baru pun turut bergabung dan menambah kemeriahan kamp pelatihan musim panas!!"
"c sword and cornett","Kerajaan Azelprad dipimpin oleh keluarga keturunan sang raja pahlawan yang legendaris . Pangeran ketiga, Belca, yang dibenci karena keturunan rakyat biasa, menjalani hidup yang membosankan. Tapi saat kakaknya meninggal, dan diketahui itu karena dibunuh oleh para bangsawan yang merasa terancam olehnya, hidup Belca berubah total dan dia harus melarikan diri untuk melindungi nyawanya."
"cage of eden","Sengoku yang melihat teman-temannya panik, memutuskan untuk mempertaruhkan nyawa demi menyelematkan mereka . Ketika akhirnya kawanan argentavis berhasil diusir, masalah baru pun muncul! Beberapa anggota kelompok Sengoku tiba-tiba meninggal tanpa sebab yang jelas! Apa sebenarnya penyebab kematian teman-temannya!?"
"can animal cure us","Pernahkah kalian mengalami kejadian traumatis yang masih membekas di dalam hati kalian? Konon luka hati seperti itu bisa disembuhkan melalui kontak dengan hewan . Eh!? Itu hanya takhayul!? Siapa bilang!? Nagisa dan kawan-kawan akan menunjukkan sisi ilmiah animal therapy. Animal therapy itu bukan cuma takhayul!"
"captain alice","Alice Hasegawa, co-pilot dari Air Ship Japan Cargo . Perempuan yang sangat bangga pada kemampuannya mengendalikan pesawat ini sangat suka dengan hal yang di luar dugaan dan membuatnya berdebar saat menghadapi situasi sulit yang biasanya ingin dihindari orang saat penerbangan. Apa Alice bisa membuktikan kemampuannya dengan mengatasi berbagai kecelakaan yang terjadi di atas langit?"
"captain tsubasa","Tsubasa Ozora, anak yang tumbuh bersama bola sebagai sahabat, adalah siswa kelas 6 SD . Tsubasa yang baru pindah sekolah ke SD Nankatsu berjumpa dengan Genzo Wakabayashi, seorang kiper jenius SD Shutetsu. Tsubasa menantang Wakabayashi duel, tapi hasil akhirnya ditentukan lewat turnamen antara kedua sekolah!"
"cardcaptor sakura","Seorang penyihir bernama Clow Reed membuat kartu-kartu berkekuatan magis, clowcard . Masing-masing kartu memiliki nama, sosok, dan kekuatan yang dahsyat. Mereka mampu berbuat sesuka hatinya. Untuk mencegah keributan, kartu-kartu itu disimpan di dalam buku segel. Tetapi karena kelengahan penjaganya, mereka berhasil melepaskan diri. Sakura, seorang gadis kecil kelas 4 SD bisa membuka segel buku itu. Sejak saat itu ia mengemban tugas untuk mengumpulkan clowcard yang tercecer, didampingi makhluk penyegel, Cerberus."
"cat god","Siapa sangka, Mayu si anak buangan akan dilamar . Pasangannya pun tidak main-main, Dewa Bulan yang merupakan satu dari tiga dewa paling tinggi kedudukannya di langit. Tapi bagaimana si dewa kucing yang sudah betah hidup menumpang di toko antik dan main game seharian ini akan menanggapinya"
"cat street","Keito Aoyama seorang gadis berusia 16 tahun yang pernah terkenal di masa kanak-kanaknya . Tetapi, ketika Keito berusia 9 tahun , terpaksa mengundurkan diri dari dunia hiburan karena di pertunjukan Sunny Day ia tidak bisa berakting dan hanya terdiam di hadapan penonton. Suatu hari di saat Keito sudah kehilangan segalanya ia menolak bersekolah dan tinggal di rumah saja, diundang seseorang ke sekolah spesial !?"
"cerita spesial doraemon","Nobita panik, karena dirinya tidak mempunyai keahlian yang bisa dipentaskan di acara perpisahan . Padahal dalam acara perpisahan itu, setiap anak harus membuat sebuah atraksi. Berkat ide aneh Doraemon, Nobita tampil bermusik kentut."
"chef mitsuboshi","Mitsuboshi Nakahara pelajar SMA akhirnya menjejakan kaki di Perancis . Dengan bermodal kecerdasannya, jiwa suka berteman dan benci akan kekalahan, ia mendalamai masakan Perancis. Tekadnya ingin menjadi koki masakan Perancis sejati..."
"chimpui","Eri, seorang anak perempuan yang duduk di bangku SD, mendadak didatangi alien yang bernama Chimpui! Chimpui dan kawannya, Wanderyu, mengatakan bahwa Eri telah terpilih sebagai tunangan seorang pangeran di Planet Mahl . Bagaimana Eri menanggapi kabar mengejutkan ini, ya? Lagi pula, siapa yang mau bertunangan dengan seseorang yang bahkan belum pernah ditemuinya? Ikuti kisah hari-hari Eri yang penuh keajaiban bersama si alien imut Chimpui!!"
"chion and the cat temple","Kuil desa yang penuh dengan kucing-kucing santai . Di kuil tempat tinggalnya waktu kecil ini, Gen bertemu kembali dengan Chion dan keduanya memulai kehidupan bersama. Sementara itu, diam-diam Gen mulai merasakan sesuatu pada Chion, yang lebih tua darinya"
"chocolat","Kamu suka padaku?!!! Orang biasa seperti aku ini?!! Berita tentang kecelakaan yang menimpa kak Jin Ryul?!! Jantungku berhenti mendengarnya, Tapi Lee So bisa-bisanya meremehkan perasaan cintaku yang tulus ini pada kak Jin Ryul?! Karena aku memikirkan perasaan fans klub nya Yo-I jadi aku terus bersabar diperlakukan seperti ini, tapi tiba-tiba dia menyatakan cintanya?! Lee So si pangeran kurang ajar itu menyukai Hwang Geum Ji si anak anjing liar ini?!! kamu bercandakan! Pertama memang sudah tertipu, tapi kamu pikir akan tertipu kedua kalinya?"
"chocolate","Di tangga kota, tiba-tiba saja takdir datang menghampiri . Cinta pertamaku yang terjadi hanya satu hari, mengirisku dengan cokelat yang manis sekaligus pahit"
"chocolate girl","Meski punya antusiasme besar, sifat yang negatif membuat Kyoko sering melakukan kesalahan dalam pekerjaannya sebagai manajer artis . Suatu hari, kesalahannya membuat dia diberi peringatan; Kalau tidak bisa merekrut aktor teater bernama Riku, dia akan dipecat. Kyoko pun langsung pergi, tapi Riku yang memiliki kepribadian yang sangat intens membuatnya ketakutan!!"
"chopperman","Di sebuah pulau yang damai bernama Pulau Tony Tony hiduplah rusa yang menjadi pahlawan kebajikan bagi semua warga pulau . Rusa itu bernama Chopperman! Tetapi suatu hari kedamaian Pulau Tony Tony terancam dengan kedatangan seorang peneliti jahat bernama Usodabada dengan ambisinya untuk menguasai bumi!"
"ciuman dewa","Kali ini muncul pangeran dari Rawa Inunaki yang menculik Nanami beserta seisi kuilnya . Dia juga mengganggu kisah cinta antara Himemiko dan Kotaro. Apakah Kotaro akan mengetahui wujud asli Himemiko? Bagaimanakah kelanjutan kisah cinta antara Himemiko dan Kotaro?"
"classi9","Ren Taki () pergi ke kota musik Vienna, demi mempelajari musik di luar negeri . Akan tetapi, sekolah yang akan dimasukinya adalah sekolah pria. Kehidupan sekolahnya bersama para komposer jenius berkarakter unik seperti Mozart, Beethoven, Bach, dkk. dimulai!"
"claymore","Demi sebuah ingatan yang tak ingin dikenang, Priscilla sengaja mengunci ingatannya yang lain . Namun, saat kotak ingatan itu terbuka, ia malah semakin buas! Sementara itu, usaha Deneve dan Helen untuk melarikan diri dari Priscilla tampaknya sia-sia saja, namun segalanya berubah saat Claire memutuskan untuk mengorbankan dirinya sendiri. Kematian Claire pun membuat Priscilla marah besar!"
"clean freak aoyama kun","Aoyama yang pemain andalan Liga U-16 masuk SMA Fujimi yang sepak bolanya biasa-biasa saja . Walau pemain handal, Aoyama ternyata Clean Freak, alias maniak kebersihan. Makanya, salah satu prinsip yang dia pegang sangat teguh adalah... pantang menyundul bola!! Bahkan di sekolah, Aoyama memilki perangkat toilet sendiri... yang dia beri nama Sebastian. (Ok, itu toilet, lho)."
"code breaker","[C0DE:BREAKER] vs . [C0DE:NAME]. Pertarungan hidup mati itu berubah drastis!! Di tengah pertarungan, muncullah salah satu dari keempat pilar pendiri Eden, Sakurako Sakurakouji!! Siapakah sosok [malaikat] paling menakutkan yang diungkapkan oleh mulut Sakurako sendiri......!?"
"coffee master","Hanayama, salesman muda perusahaan minuman, tidak bisa minum kopi yang disajikan klien . Tanpa diketahui yang lain, dia sebenarnya hanya tidak bisa minum kopi tidak enak. Jati diri aslinya, dia anggota termuda klub kopi terelite, RDC. Kagaya, atasannya, mengajaknya bergabung dalam proyek Third Wave Coffee yaitu produksi kopi spesialti. Proyek ini akhirnya membimbing Hanayama pada pertandingan membuat Kopi Raja melawan Tendo, ketua RDC. Kopi spesialti seperti apa yang dipilih Hanayama untuk jadi Kopi Raja? Simak semua tentang kopi spesialti yang perlu diketahui pecinta kopi di sini!"
"conan movie","Conan dan kawan-kawannya sedang menikmati pemandangan dari ketinggian menara Bell Tree Tower . Tapi keceriaan itu hancur oleh penembak misterius yang membunuh seseorang tepat di depan mata mereka. Tak hanya berhenti sampai di situ, si pembunuh yang diketahui mantan pasukan khusus Amerika itu masih belum puas membalas dendamnya. Bisakah Conan menemukan keberadaan si pelaku dan menghentikannya ?"
"connect","Meski lahir dari ayah seorang komposer dan ibu seorang pianis, yang disukai oleh Wakana bukan musik klasik atau semacamnya . Musik yang dia sukai adalah musik yang mengiringi dan menggambarkan cerita dan karakter. Ya, dia suka musik soundtrack, terutama lagu-lagu anime dan game. Tapi impiannya untuk menulis lagu anime itu tak pernah dia kejar, hingga suatu hari Wakana bertemu teman sekelasnya yang pengarang komik. Dari sana, impian itu akhirnya mulai berusaha untuk menetas."
"cook x doppo","Nishikido Doppo, seorang anak jenius dalam memasak, menyimpan sebuah misteri ... Dan misteri itu terletak pada makanan sehari-hari khas Jepang racikannya. Doppo akan membawa kita berpetualang dalam kisah kuliner seru nan unik!"
"crayon shinchan","Wah, senangnya lagi-lagi Shinchan berwisata ke luar negeri . Kali ini Shinchan berlibur ke Korea bersama rombongan tur penggemar komikus Yoshii Usuto! Dan di Korea, wanita-wanita cantik pun sudah menanti!"
"crayon shinchan movie","Dunia mimpi membuat Shinnosuke dan teman-temannya senang, karena mereka bisa bermimpi sesuai dengan keinginan . Mereka menikmati indahnya mimpi mereka. Namun, ternyata pelan-pelan mimpi indah itu berubah menjadi mimpi buruk!! Apa yang sedang terjadi?"
"crime edge","Kiri punya hobi aneh, yaitu memotong rambut wanita . Dari kecil dia sudah begini dan sampai sekarang pun nafsunya tidak padam, hanya saja sudah tak ada orang yang mau dipotongkan rambutnya. Akhirnya, dia bertemu dengan gadis berambut sangat indah yang tak keberatan meski rambutnya dipotong, kalau memang bisa. Inilah awal hubungan sang ratu yang dikutuk, dan pembunuh psikopat yang menjadi tukang potong rambutnya."
"crimson prince","Koujirou Sakura, seorang pangeran iblis yang datang ke dunia manusia untuk menjalani pelatihan singkat agar bisa lulus dari sekolahnya di dunia iblis . Tapi setelah rentetan peristiwa aneh, ia akhirnya tinggal dengan gadis manusia bernama Hana. Kehidupannya sebagai manusia pun dimulai..."
"cubitus","Semaphore cukup dibuat pusing Cubitus dalam menghadapi kegalauan anjing kesayangannya menjelang malam . Segala cara dilakukan, dari mengizinkan Cubitus tidur di kamarnya, memindahkan kandang Cubitus ke dalam kamar sampai harus menemani Cubitus tidur di halaman. Lalu masih ingat, kan, betapa tidak akurnya Cubitus dan Senechal? Tidak hanya didunia nyata mereka saling menjebak, ternyata perseteruan mereka juga berlanjut di dunia mimpi. Namun sesekali mereka bosan, mereka kompak mempersembahkan karya musik, tentunya musik versi mereka."
"cute children","Tokyo diprediksi akan mengalami gempa berkekuatan besar . Tapi ternyata, gempa terjadi di sebuah pulau yang jauh dari tokyo. The Children dan Minamoto pun segera bergerak ke sana untuk menyelamatkan penduduk sipil, tapi kekuatan ESP tetap tak bisa menandingi bencana alam. Apakah The Children berhasil menghadapi lawan baru mereka?"
"daily life of scholar shinjiro katsuragi","Demi meraih cita-citanya menjadi seorang novelis, Shinjiro Katsuragi pergi ke Tokyo . Bangunan tempatnya tinggal di sana bernama Pondok Kurohige, sebuah rumah misterius yang semua penghuninya siluman!! Pengurus pondok tersebut bernama Hiro, seorang gadis yang sebenarnya siluman rubah. Ditemani Chima, siluman api yang telah bersahabat dengannya sejak kecil, Shinjiro menjalani hari-harinya di tengah para siluman!"
"daily lives of high school boys","Kisah tentang sekelompok anak laki-laki gila dari SMA Sanada yang sedang mencari jati diri, lengkap dengan komedi dan petualangannya ."
"dawn of the arcana","Pada akhirnya, Nakaba memutuskan untuk memilih salah satu dari kedua masa depan yang dilihatnya, di mana salah satu dari Arkel dan Azhar mati . Walau sempat murung karena lagi-lagi merasa kekuatannya adalah sebuah kutukan, Nakaba berusaha bangkit karena tahu Caesar juga berusaha untuk mengubah dunia. Mereka berdua pun berpisah jalan dan menyambut takdir tragis mereka di kerajaan masing-masing..."
"daydreaming","Suzuko sebentar lagi akan lulus kuliah, tapi dia belum mendapat pekerjaan! Ibunya pun memberi ultimatum bahwa kalau ingin terus tinggal di rumah Nenek, dia harus mencari pekerjaan di daerah itu, kalau tidak, lebih baik pulang ke rumah . Apa Suzuko bisa terus tinggal di rumah Nenek? Sementara itu, hubungan Suzuko dan Akira berubah!?"
"dazzle","Setelah setengah tahun mengembara, akhirnya Rahzel kembali masuk ke sekolah! Di sana ia kembali menjalani kehidupan yang normal, dan bertemu kembali dengan teman-teman lamanya . Akan tetapi di tengah-tengah kehidupan sekolah tersebut, Kiara kembali menampakkan dirinya. Apa yang sedang ia rencanakan!?"
"deadman wonderland","10 tahun setelah gempa besar Tokyo ... Ganta Igarashi, salah satu korban yang selamat, menjalani hari-hari yang penuh kedamaian sebagai siswa SMP bersama teman-teman sekelasnya. Tapi, kemunculan laki-laki merah di sekolahnya mengacaukan hidup Ganta! Gawatnya Ganta yang tak bersalah malah dituduh sebagai pembunuh, divonis hukuman mati, dan akhirnya dikirim ke penjara swasta Deadman Wonderland yang penuh misteri..."
"dear boys act 3","Aikawa berada di posisi terdesak karena permainan Tendouji . Gara-gara pushing oleh Enomoto, skor Tendouji dan Mizuho menjadi 68 vs 66. Mizuho pun melakukan pergantian pemain. Enomoto digantikan oleh Takashina, yang sebelumnya telah foul 4x. Pada detik-detik terakhir dengan sisa waktu 5 detik, Aikawa gagal memasukkan bola ke ring. Bola rebound pun akhirnya dikejar oleh Aikawa dan Kisaragi, dan skor Tendouji menjadi 72 lawan 71. Tapi karena foul yang dilakukan Kisaragi, Mizuho mendapat free throw 1 shot di detik 0:00!!"
"delicious days with martha","Martha berasal dari Portugal . Gadis bokek namun hobi makan. Sendirian menikmati hidup sekalipun uang pas-pasan dan tinggal di apartermen bobrok yang berumur 70 tahunan. Mulai dari menikmati segarnya jeruk musim panas, gurihnya nasi goreng dengan minyak ayam, lezatnya charsew teh hitam, enaknya kue tart dari pinggiran roti tawar, dan lain-lain. Martha membuktikan bahwa sekalipun bokek, dia tetap bisa makan enak."
"deluxe miriam","Douglas, Card, dan Joel lari ke Wilstown setelah terlibat perselisihan . Di tengah jalan, mereka bertemu bocah 8 tahun bernama Miriam, yang dengan cerdiknya menjerat mereka untuk melakukan berbagai hal. Termasuk bekerja di perternakannya. Pertemuan dengan Miriam membawa ketiga pemuda ini dalam berbagai situasi, baik yang mengharukan maupun yang penuh baku hantam."
"demon king","Perjalanan Demon King untuk menjadi Raja Akhirat dimulai!! Demi menemukan Demon King yang sedang berada di Dunia Sura, Murin membuat kekacauan di dunia . Di sisi lain, demi mendapatkan kekuatan untuk menandingi Murin, Demon King bersedia menghadapi ujian yang ditawarkan Raja Sura. Maka dari itu, dia pergi ke Pulau Sura untuk menjadi majikan para iblis yang baru...!"
